date,trip_year,trip_month,trip_day,weekday,n_trips,n_csl_trips,prop_lobster,all_all,csl_all,all_hook_and_line,all_spear_or_hand,all_nets,all_traps,all_unknown,all_diving,all_combined_gears,csl_spear_or_hand,csl_traps,csl_nets,csl_hook_and_line,csl_unknown,csl_diving,csl_combined_gears,year,is_sunday,max_wind_ms,mean_wind_ms,max_gust_ms,max_swh_m,mean_swh_m,population,csl_trips_per_1k,csl_lbs_per_1k,total_annual_trips,total_annual_csl,trip_share_daily,csl_trip_share_daily
1985-01-01,1985,1,1,Tuesday,13,0,0,438,0,203,6,0,124,0,105,0,0,0,0,0,0,0,0,1985,0,10.975895127769855,10.179811725778658,15.157806,2.061214,1.946172625,100760,0,0,3784,36,0.003435517970401691,0
1985-01-02,1985,1,2,Wednesday,16,0,0,625,0,120,0,12,481,0,12,0,0,0,0,0,0,0,0,1985,0,10.659819561992032,10.023379521204085,14.236787,1.997108,1.8910227708333334,100760,0,0,3784,36,0.004228329809725159,0
1985-01-03,1985,1,3,Thursday,16,0,0,565,0,143,0,118,152,0,152,0,0,0,0,0,0,0,0,1985,0,10.643230148540258,9.717936480158073,14.280316,2.1037693,1.8875350708333334,100760,0,0,3784,36,0.004228329809725159,0
1985-01-04,1985,1,4,Friday,19,0,0,894,0,270,0,0,533,0,91,0,0,0,0,0,0,0,0,1985,0,9.447020732121366,8.213787772879098,12.966755,1.7519977,1.6078893625,100760,0,0,3784,36,0.005021141649048625,0
1985-01-05,1985,1,5,Saturday,27,0,0,1014,0,168,0,77,639,0,130,0,0,0,0,0,0,0,0,1985,0,6.931456297950847,6.492640541426821,9.752116,1.4008647,1.2495253791666667,100760,0,0,3784,36,0.007135306553911205,0
1985-01-06,1985,1,6,Sunday,17,0,0,548,0,145,0,68,211,0,124,0,0,0,0,0,0,0,0,1985,1,7.791810447657192,6.573245053891452,10.494763,1.1878119,1.1567736125,100760,0,0,3784,36,0.004492600422832981,0
1985-01-07,1985,1,7,Monday,16,0,0,592,0,260,0,0,236,0,96,0,0,0,0,0,0,0,0,1985,0,8.24716722796632,7.0983819237719,11.1649065,1.2782693999999999,1.1756439041666666,100760,0,0,3784,36,0.004228329809725159,0
1985-01-08,1985,1,8,Tuesday,20,0,0,691,0,317,0,32,229,0,113,0,0,0,0,0,0,0,0,1985,0,6.818466923194411,5.4068540562085365,9.331413,1.0804988,0.9960475929166667,100760,0,0,3784,36,0.005285412262156448,0
1985-01-09,1985,1,9,Wednesday,19,0,0,805,0,160,0,16,446,0,183,0,0,0,0,0,0,0,0,1985,0,7.836374227679734,6.80107423326288,10.455352,1.1602216,1.06609800625,100760,0,0,3784,36,0.005021141649048625,0
1985-01-10,1985,1,10,Thursday,12,0,0,315,0,201,0,19,95,0,0,0,0,0,0,0,0,0,0,1985,0,8.387555726383171,7.551262153145481,11.8103895,1.3174592,1.2396880583333334,100760,0,0,3784,36,0.003171247357293869,0
1985-01-11,1985,1,11,Friday,21,0,0,1239,0,176,0,15,716,0,332,0,0,0,0,0,0,0,0,1985,0,7.755773476556592,6.301139933238984,10.270582,1.2950203,1.2349088333333333,100760,0,0,3784,36,0.005549682875264271,0
1985-01-12,1985,1,12,Saturday,37,3,0.081081081,1359,72,268,43,47,856,0,145,0,0,2,0,0,0,70,0,1985,0,5.084085983733076,4.00582996208999,7.247012,1.1564312,1.0671523945833334,100760,0.029773719730051607,0.7145692735212386,3784,36,0.009778012684989429,0.08333333333333333
1985-01-13,1985,1,13,Sunday,13,0,0,684,0,297,0,272,115,0,0,0,0,0,0,0,0,0,0,1985,1,5.104778500018116,3.8691956827643783,7.0742517,0.95973045,0.8708997704166667,100760,0,0,3784,36,0.003435517970401691,0
1985-01-14,1985,1,14,Monday,19,0,0,861,0,198,70,247,183,0,163,0,0,0,0,0,0,0,0,1985,0,8.171626020458673,5.729450900411132,10.611546,1.3519369,0.9839875,100760,0,0,3784,36,0.005021141649048625,0
1985-01-15,1985,1,15,Tuesday,17,0,0,843,0,265,0,11,316,0,251,0,0,0,0,0,0,0,0,1985,0,8.357714405768997,6.360256085818888,11.190141,1.4476577,1.2518948,100760,0,0,3784,36,0.004492600422832981,0
1985-01-16,1985,1,16,Wednesday,19,0,0,733,0,188,0,20,465,0,60,0,0,0,0,0,0,0,0,1985,0,6.409944132461526,5.735255231716105,8.368956,1.0356452,0.9924409187500001,100760,0,0,3784,36,0.005021141649048625,0
1985-01-17,1985,1,17,Thursday,11,0,0,321,0,206,0,0,72,0,43,0,0,0,0,0,0,0,0,1985,0,7.780671604641096,6.752476100507114,10.926467,1.1457021,1.0525624108333334,100760,0,0,3784,36,0.0029069767441860465,0
1985-01-18,1985,1,18,Friday,27,0,0,1139,0,284,64,172,561,0,58,0,0,0,0,0,0,0,0,1985,0,5.7529729124434335,5.111516457831841,8.854518,1.1029629,1.0758795666666667,100760,0,0,3784,36,0.007135306553911205,0
1985-01-19,1985,1,19,Saturday,30,0,0,1148,0,90,0,99,886,0,73,0,0,0,0,0,0,0,0,1985,0,6.89109285186439,5.345491048539728,9.036661,1.1341559,1.0766690791666667,100760,0,0,3784,36,0.007928118393234672,0
1985-01-20,1985,1,20,Sunday,15,0,0,431,0,132,0,120,98,0,81,0,0,0,0,0,0,0,0,1985,1,7.958220964519957,6.439048840464279,11.29633,1.219997,1.0967031225,100760,0,0,3784,36,0.003964059196617336,0
1985-01-21,1985,1,21,Monday,17,0,0,907,0,248,113,50,333,0,163,0,0,0,0,0,0,0,0,1985,0,6.7254096415754665,5.722018757414527,8.988368,1.1122159,1.0207269279166666,100760,0,0,3784,36,0.004492600422832981,0
1985-01-22,1985,1,22,Tuesday,13,0,0,448,0,112,0,9,231,0,96,0,0,0,0,0,0,0,0,1985,0,5.555309195365798,5.147270934201483,7.61164,0.9304079,0.9047518441666667,100760,0,0,3784,36,0.003435517970401691,0
1985-01-23,1985,1,23,Wednesday,14,0,0,607,0,275,0,0,253,0,79,0,0,0,0,0,0,0,0,1985,0,6.335750361830167,5.2953501165788035,8.902314,0.96770644,0.8980690029166667,100760,0,0,3784,36,0.0036997885835095136,0
1985-01-24,1985,1,24,Thursday,16,0,0,574,0,127,20,20,302,0,105,0,0,0,0,0,0,0,0,1985,0,7.139761989752858,6.4662510308898495,9.989938,1.240246,1.1241995708333334,100760,0,0,3784,36,0.004228329809725159,0
1985-01-25,1985,1,25,Friday,13,0,0,552,0,126,0,0,406,0,20,0,0,0,0,0,0,0,0,1985,0,8.934208083590846,7.651368930454464,11.802203,1.4785944,1.3206722166666667,100760,0,0,3784,36,0.003435517970401691,0
