date,trip_year,trip_month,trip_day,weekday,n_trips,n_csl_trips,prop_lobster,all_all,csl_all,all_hook_and_line,all_spear_or_hand,all_nets,all_traps,all_unknown,all_diving,all_combined_gears,csl_spear_or_hand,csl_traps,csl_nets,csl_hook_and_line,csl_unknown,csl_diving,csl_combined_gears,year,is_sunday
1985-01-01,1985,1,1,Tuesday,13,0,0,438,0,203,6,0,124,0,105,0,0,0,0,0,0,0,0,1985,0
1985-01-02,1985,1,2,Wednesday,16,0,0,625,0,120,0,12,481,0,12,0,0,0,0,0,0,0,0,1985,0
1985-01-03,1985,1,3,Thursday,16,0,0,565,0,143,0,118,152,0,152,0,0,0,0,0,0,0,0,1985,0
1985-01-04,1985,1,4,Friday,19,0,0,894,0,270,0,0,533,0,91,0,0,0,0,0,0,0,0,1985,0
1985-01-05,1985,1,5,Saturday,27,0,0,1014,0,168,0,77,639,0,130,0,0,0,0,0,0,0,0,1985,0
1985-01-06,1985,1,6,Sunday,17,0,0,548,0,145,0,68,211,0,124,0,0,0,0,0,0,0,0,1985,1
1985-01-07,1985,1,7,Monday,16,0,0,592,0,260,0,0,236,0,96,0,0,0,0,0,0,0,0,1985,0
1985-01-08,1985,1,8,Tuesday,20,0,0,691,0,317,0,32,229,0,113,0,0,0,0,0,0,0,0,1985,0
1985-01-09,1985,1,9,Wednesday,19,0,0,805,0,160,0,16,446,0,183,0,0,0,0,0,0,0,0,1985,0
1985-01-10,1985,1,10,Thursday,12,0,0,315,0,201,0,19,95,0,0,0,0,0,0,0,0,0,0,1985,0
1985-01-11,1985,1,11,Friday,21,0,0,1239,0,176,0,15,716,0,332,0,0,0,0,0,0,0,0,1985,0
1985-01-12,1985,1,12,Saturday,37,3,0.081081081,1359,72,268,43,47,856,0,145,0,0,2,0,0,0,70,0,1985,0
1985-01-13,1985,1,13,Sunday,13,0,0,684,0,297,0,272,115,0,0,0,0,0,0,0,0,0,0,1985,1
1985-01-14,1985,1,14,Monday,19,0,0,861,0,198,70,247,183,0,163,0,0,0,0,0,0,0,0,1985,0
1985-01-15,1985,1,15,Tuesday,17,0,0,843,0,265,0,11,316,0,251,0,0,0,0,0,0,0,0,1985,0
1985-01-16,1985,1,16,Wednesday,19,0,0,733,0,188,0,20,465,0,60,0,0,0,0,0,0,0,0,1985,0
1985-01-17,1985,1,17,Thursday,11,0,0,321,0,206,0,0,72,0,43,0,0,0,0,0,0,0,0,1985,0
1985-01-18,1985,1,18,Friday,27,0,0,1139,0,284,64,172,561,0,58,0,0,0,0,0,0,0,0,1985,0
1985-01-19,1985,1,19,Saturday,30,0,0,1148,0,90,0,99,886,0,73,0,0,0,0,0,0,0,0,1985,0
1985-01-20,1985,1,20,Sunday,15,0,0,431,0,132,0,120,98,0,81,0,0,0,0,0,0,0,0,1985,1
1985-01-21,1985,1,21,Monday,17,0,0,907,0,248,113,50,333,0,163,0,0,0,0,0,0,0,0,1985,0
1985-01-22,1985,1,22,Tuesday,13,0,0,448,0,112,0,9,231,0,96,0,0,0,0,0,0,0,0,1985,0
1985-01-23,1985,1,23,Wednesday,14,0,0,607,0,275,0,0,253,0,79,0,0,0,0,0,0,0,0,1985,0
1985-01-24,1985,1,24,Thursday,16,0,0,574,0,127,20,20,302,0,105,0,0,0,0,0,0,0,0,1985,0
1985-01-25,1985,1,25,Friday,13,0,0,552,0,126,0,0,406,0,20,0,0,0,0,0,0,0,0,1985,0
1985-01-26,1985,1,26,Saturday,43,0,0,1715,0,182,61,135,1139,0,198,0,0,0,0,0,0,0,0,1985,0
1985-01-27,1985,1,27,Sunday,15,0,0,544,0,166,20,104,169,0,85,0,0,0,0,0,0,0,0,1985,1
1985-01-28,1985,1,28,Monday,16,0,0,554,0,144,10,20,288,0,92,0,0,0,0,0,0,0,0,1985,0
1985-01-29,1985,1,29,Tuesday,12,0,0,522,0,245,53,14,157,0,53,0,0,0,0,0,0,0,0,1985,0
1985-01-30,1985,1,30,Wednesday,20,0,0,762,0,167,10,16,412,0,157,0,0,0,0,0,0,0,0,1985,0
1985-01-31,1985,1,31,Thursday,5,0,0,467,0,360,0,0,107,0,0,0,0,0,0,0,0,0,0,1985,0
1985-02-01,1985,2,1,Friday,14,0,0,989,0,66,0,140,713,0,70,0,0,0,0,0,0,0,0,1985,0
1985-02-02,1985,2,2,Saturday,39,0,0,1558,0,116,58,111,961,0,312,0,0,0,0,0,0,0,0,1985,0
1985-02-03,1985,2,3,Sunday,16,0,0,738,0,252,10,204,147,0,125,0,0,0,0,0,0,0,0,1985,1
1985-02-04,1985,2,4,Monday,23,0,0,852,0,535,58,14,205,0,40,0,0,0,0,0,0,0,0,1985,0
1985-02-05,1985,2,5,Tuesday,24,0,0,1933,0,977,0,42,656,0,258,0,0,0,0,0,0,0,0,1985,0
1985-02-06,1985,2,6,Wednesday,20,0,0,704,0,169,12,44,387,0,92,0,0,0,0,0,0,0,0,1985,0
1985-02-07,1985,2,7,Thursday,11,0,0,341,0,186,10,55,50,0,40,0,0,0,0,0,0,0,0,1985,0
1985-02-08,1985,2,8,Friday,22,0,0,1622,0,389,41,68,769,0,355,0,0,0,0,0,0,0,0,1985,0
1985-02-09,1985,2,9,Saturday,40,0,0,1517,0,209,18,134,1006,0,150,0,0,0,0,0,0,0,0,1985,0
1985-02-10,1985,2,10,Sunday,16,0,0,664,0,193,0,171,285,0,15,0,0,0,0,0,0,0,0,1985,1
1985-02-11,1985,2,11,Monday,21,0,0,763,0,357,0,23,258,0,125,0,0,0,0,0,0,0,0,1985,0
1985-02-12,1985,2,12,Tuesday,20,0,0,1151,0,179,63,37,444,0,428,0,0,0,0,0,0,0,0,1985,0
1985-02-13,1985,2,13,Wednesday,18,0,0,667,0,202,0,38,317,0,110,0,0,0,0,0,0,0,0,1985,0
1985-02-14,1985,2,14,Thursday,12,0,0,468,0,199,0,0,179,0,90,0,0,0,0,0,0,0,0,1985,0
1985-02-15,1985,2,15,Friday,17,0,0,1066,0,134,0,100,661,0,171,0,0,0,0,0,0,0,0,1985,0
1985-02-16,1985,2,16,Saturday,35,3,0.085714286,1228,59,105,31,58,999,0,35,0,0,24,0,0,0,35,0,1985,0
1985-02-17,1985,2,17,Sunday,11,0,0,435,0,110,30,33,92,0,170,0,0,0,0,0,0,0,0,1985,1
1985-02-18,1985,2,18,Monday,20,0,0,640,0,242,56,13,219,0,110,0,0,0,0,0,0,0,0,1985,0
1985-02-19,1985,2,19,Tuesday,21,0,0,1006,0,202,15,62,409,0,318,0,0,0,0,0,0,0,0,1985,0
1985-02-20,1985,2,20,Wednesday,19,0,0,896,0,424,0,137,335,0,0,0,0,0,0,0,0,0,0,1985,0
1985-02-21,1985,2,21,Thursday,14,0,0,806,0,163,0,300,289,0,54,0,0,0,0,0,0,0,0,1985,0
1985-02-22,1985,2,22,Friday,16,0,0,903,0,211,0,11,474,0,207,0,0,0,0,0,0,0,0,1985,0
1985-02-23,1985,2,23,Saturday,34,0,0,1660,0,88,29,160,1113,0,270,0,0,0,0,0,0,0,0,1985,0
1985-02-24,1985,2,24,Sunday,15,0,0,552,0,324,0,53,173,0,2,0,0,0,0,0,0,0,0,1985,1
1985-02-25,1985,2,25,Monday,22,0,0,1000,0,345,82,29,432,0,112,0,0,0,0,0,0,0,0,1985,0
1985-02-26,1985,2,26,Tuesday,20,0,0,958,0,419,10,81,388,0,60,0,0,0,0,0,0,0,0,1985,0
1985-02-27,1985,2,27,Wednesday,24,0,0,1201,0,282,0,201,397,0,321,0,0,0,0,0,0,0,0,1985,0
1985-02-28,1985,2,28,Thursday,24,0,0,1213,0,163,0,122,783,0,145,0,0,0,0,0,0,0,0,1985,0
1985-03-01,1985,3,1,Friday,17,0,0,826,0,177,60,0,423,0,166,0,0,0,0,0,0,0,0,1985,0
1985-03-02,1985,3,2,Saturday,40,0,0,1751,0,270,20,279,1127,0,55,0,0,0,0,0,0,0,0,1985,0
1985-03-03,1985,3,3,Sunday,19,0,0,702,0,167,27,138,259,0,111,0,0,0,0,0,0,0,0,1985,1
1985-03-04,1985,3,4,Monday,14,0,0,634,0,352,10,13,179,0,80,0,0,0,0,0,0,0,0,1985,0
1985-03-05,1985,3,5,Tuesday,23,0,0,1282,0,294,0,399,549,0,40,0,0,0,0,0,0,0,0,1985,0
1985-03-06,1985,3,6,Wednesday,22,0,0,1191,0,453,0,38,580,0,120,0,0,0,0,0,0,0,0,1985,0
1985-03-07,1985,3,7,Thursday,15,0,0,572,0,365,40,12,80,0,75,0,0,0,0,0,0,0,0,1985,0
1985-03-08,1985,3,8,Friday,18,0,0,987,0,185,37,0,695,0,70,0,0,0,0,0,0,0,0,1985,0
1985-03-09,1985,3,9,Saturday,39,0,0,1902,0,102,30,161,1384,0,225,0,0,0,0,0,0,0,0,1985,0
1985-03-10,1985,3,10,Sunday,16,0,0,590,0,196,42,122,215,0,15,0,0,0,0,0,0,0,0,1985,1
1985-03-11,1985,3,11,Monday,22,0,0,713,0,223,20,113,247,0,110,0,0,0,0,0,0,0,0,1985,0
1985-03-12,1985,3,12,Tuesday,18,0,0,1124,0,254,20,12,758,0,80,0,0,0,0,0,0,0,0,1985,0
1985-03-13,1985,3,13,Wednesday,17,0,0,663,0,391,0,17,175,0,80,0,0,0,0,0,0,0,0,1985,0
1985-03-14,1985,3,14,Thursday,20,0,0,858,0,218,54,144,313,0,129,0,0,0,0,0,0,0,0,1985,0
1985-03-15,1985,3,15,Friday,24,0,0,1351,0,373,0,0,637,0,341,0,0,0,0,0,0,0,0,1985,0
1985-03-16,1985,3,16,Saturday,34,0,0,1505,0,186,25,23,1032,0,239,0,0,0,0,0,0,0,0,1985,0
1985-03-17,1985,3,17,Sunday,20,0,0,742,0,242,50,117,283,0,50,0,0,0,0,0,0,0,0,1985,1
1985-03-18,1985,3,18,Monday,19,0,0,549,0,164,6,85,203,0,91,0,0,0,0,0,0,0,0,1985,0
1985-03-19,1985,3,19,Tuesday,17,0,0,1146,0,342,0,15,689,0,100,0,0,0,0,0,0,0,0,1985,0
1985-03-20,1985,3,20,Wednesday,20,0,0,958,0,116,0,51,661,0,130,0,0,0,0,0,0,0,0,1985,0
1985-03-21,1985,3,21,Thursday,14,0,0,356,0,115,40,14,146,0,41,0,0,0,0,0,0,0,0,1985,0
1985-03-22,1985,3,22,Friday,18,0,0,1003,0,162,30,0,596,0,215,0,0,0,0,0,0,0,0,1985,0
1985-03-23,1985,3,23,Saturday,28,0,0,1127,0,156,0,59,827,0,85,0,0,0,0,0,0,0,0,1985,0
1985-03-24,1985,3,24,Sunday,23,0,0,811,0,307,17,157,320,0,10,0,0,0,0,0,0,0,0,1985,1
1985-03-25,1985,3,25,Monday,17,0,0,904,0,358,50,13,363,0,120,0,0,0,0,0,0,0,0,1985,0
1985-03-26,1985,3,26,Tuesday,18,0,0,920,0,298,40,17,530,0,35,0,0,0,0,0,0,0,0,1985,0
1985-03-27,1985,3,27,Wednesday,18,0,0,621,0,136,0,24,461,0,0,0,0,0,0,0,0,0,0,1985,0
1985-03-28,1985,3,28,Thursday,12,0,0,357,0,62,0,14,236,0,45,0,0,0,0,0,0,0,0,1985,0
1985-03-29,1985,3,29,Friday,16,0,0,850,0,159,0,0,635,0,56,0,0,0,0,0,0,0,0,1985,0
1985-03-30,1985,3,30,Saturday,29,0,0,1198,0,119,10,51,1018,0,0,0,0,0,0,0,0,0,0,1985,0
1985-03-31,1985,3,31,Sunday,8,0,0,324,0,103,0,92,129,0,0,0,0,0,0,0,0,0,0,1985,1
1985-04-01,1985,4,1,Monday,17,0,0,696,0,235,0,30,391,0,40,0,0,0,0,0,0,0,0,1985,0
1985-04-02,1985,4,2,Tuesday,21,0,0,1398,0,478,20,34,643,0,223,0,0,0,0,0,0,0,0,1985,0
1985-04-03,1985,4,3,Wednesday,18,0,0,736,0,356,0,15,255,0,110,0,0,0,0,0,0,0,0,1985,0
1985-04-04,1985,4,4,Thursday,26,3,0.115384615,1172,150,493,80,26,423,0,150,0,0,0,0,0,0,150,0,1985,0
1985-04-05,1985,4,5,Friday,21,0,0,994,0,337,40,15,573,0,29,0,0,0,0,0,0,0,0,1985,0
1985-04-06,1985,4,6,Saturday,39,3,0.076923077,2067,80,313,10,129,1295,0,320,0,0,0,0,0,0,80,0,1985,0
1985-04-07,1985,4,7,Sunday,16,0,0,554,0,301,0,0,109,0,144,0,0,0,0,0,0,0,0,1985,1
1985-04-08,1985,4,8,Monday,18,0,0,716,0,317,40,5,164,0,190,0,0,0,0,0,0,0,0,1985,0
1985-04-09,1985,4,9,Tuesday,28,0,0,2015,0,381,0,130,1049,0,455,0,0,0,0,0,0,0,0,1985,0
1985-04-10,1985,4,10,Wednesday,22,0,0,1002,0,242,20,26,562,0,152,0,0,0,0,0,0,0,0,1985,0
1985-04-11,1985,4,11,Thursday,12,0,0,358,0,99,31,40,115,0,73,0,0,0,0,0,0,0,0,1985,0
