w_ms,w_kt,wv_m,f_pct,m_fdi,sd_fdi
7.5,14.58,1.5,33.35,121.8,21.29
7.5,14.58,1.75,34.56,126.2,22.23
7.5,14.58,2,34.83,127.18,22.17
7.5,14.58,2.25,34.87,127.35,22.18
7.5,14.58,2.5,34.91,127.48,22.23
8.5,16.52,1.5,52.69,192.42,21.7
8.5,16.52,1.75,56.67,206.95,23.95
8.5,16.52,2,57.31,209.3,24.07
8.5,16.52,2.25,57.43,209.72,24.04
8.5,16.52,2.5,57.47,209.88,24.09
10,19.44,1.5,62.59,228.58,19.78
10,19.44,1.75,80.15,292.68,14.5
10,19.44,2,85.61,312.62,12.4
10,19.44,2.25,86.4,315.5,11.84
10,19.44,2.5,86.51,315.9,11.96
11.5,22.35,1.5,62.65,228.78,19.85
11.5,22.35,1.75,81.67,298.23,14.62
11.5,22.35,2,91.58,334.42,8.84
11.5,22.35,2.25,96.21,351.32,5.33
11.5,22.35,2.5,97.41,355.72,4.49
13,25.27,1.5,62.65,228.78,19.85
13,25.27,1.75,81.67,298.25,14.59
13,25.27,2,91.67,334.75,8.73
13,25.27,2.25,96.54,352.52,5.26
13,25.27,2.5,98.47,359.6,0
