strike_p,strike_d,payout,prob,price
80,165,"13,785.75",0.000002,0.02
81,167,"13,125.75",0.000004,0.06
82,170,"12,135.75",0.000019,0.23
83,172,"11,475.75",0.000049,0.54
84,174,"10,815.75",0.000119,1.24
85,176,"10,155.75",0.000276,2.7
86,178,"9,495.75",0.00061,5.58
87,180,"8,835.75",0.001289,10.98
88,182,"8,175.75",0.002605,20.52
89,184,"7,515.75",0.005032,36.45
90,186,"6,855.75",0.009303,61.46
91,188,"6,195.75",0.01646,98.28
92,190,"5,535.75",0.027895,148.81
93,192,"4,875.75",0.045302,212.86
94,194,"4,215.75",0.070555,286.64
95,196,"3,555.75",0.105465,361.38
